game_id,date,home_team,away_team,home_score,away_score,neutral_site,conference_game,home_conference,away_conference,spread_home,spread_away,num_bookmakers,commence_time,date_diff_hours,actual_margin,margin_vs_spread,home_covered,away_covered
209829,2025-11-08 18:30:00+00:00,duke,western carolina,95,54,False,False,ACC,SoCon,-35.5,35.5,10,2025-11-08 18:30:00+00:00,0.0,41,5.5,1.0,0.0
212965,2025-11-08 19:00:00+00:00,wofford,milwaukee,86,76,False,False,SoCon,Horizon,2.0,-2.0,9,2025-11-08 19:00:00+00:00,0.0,10,12.0,1.0,0.0
212961,2025-11-08 19:00:00+00:00,njit,fairfield,53,74,False,False,Am. East,MAAC,5.5,-5.5,6,2025-11-08 19:00:00+00:00,0.0,-21,-15.5,0.0,1.0
209833,2025-11-08 19:00:00+00:00,binghamton,niagara,59,67,False,False,Am. East,MAAC,-3.0,3.0,6,2025-11-08 19:00:00+00:00,0.0,-8,-11.0,0.0,1.0
212977,2025-11-08 19:00:00+00:00,tulane,texas state,79,71,False,False,American,Sun Belt,-12.5,12.5,9,2025-11-08 19:00:00+00:00,0.0,8,-4.5,0.0,1.0
209832,2025-11-08 19:00:00+00:00,dayton,umbc,77,71,False,False,A-10,Am. East,-23.5,23.5,5,2025-11-08 19:00:00+00:00,0.0,6,-17.5,0.0,1.0
212955,2025-11-08 19:00:00+00:00,toledo,marshall,73,85,False,False,MAC,Sun Belt,-1.5,1.5,9,2025-11-08 19:00:00+00:00,0.0,-12,-13.5,0.0,1.0
212946,2025-11-08 20:00:00+00:00,memphis,san francisco,76,70,False,False,American,WCC,-3.5,3.5,10,2025-11-08 20:00:00+00:00,0.0,6,2.5,1.0,0.0
212949,2025-11-08 20:00:00+00:00,houston,towson,65,48,False,False,Big 12,CAA,-26.5,26.5,10,2025-11-08 20:00:00+00:00,0.0,17,-9.5,0.0,1.0
212958,2025-11-08 20:00:00+00:00,tennessee,northern kentucky,95,56,False,False,SEC,Horizon,-27.75,27.75,10,2025-11-08 20:00:00+00:00,0.0,39,11.25,1.0,0.0
215310,2025-11-08 20:00:00+00:00,texas,lafayette,97,60,False,False,SEC,Patriot,-23.0,23.0,6,2025-11-08 20:00:00+00:00,0.0,37,14.0,1.0,0.0
212966,2025-11-08 20:30:00+00:00,la salle,monmouth,73,60,False,False,A-10,CAA,-5.0,5.0,9,2025-11-08 20:30:00+00:00,0.0,13,8.0,1.0,0.0
212954,2025-11-08 21:00:00+00:00,boise state,utah valley,101,77,False,False,Mountain West,WAC,-12.25,12.25,8,2025-11-08 21:00:00+00:00,0.0,24,11.75,1.0,0.0
212948,2025-11-08 21:00:00+00:00,ucf,vanderbilt,93,105,False,False,Big 12,SEC,7.5,-7.5,9,2025-11-08 21:00:00+00:00,0.0,-12,-4.5,0.0,1.0
212939,2025-11-08 21:00:00+00:00,unc greensboro,elon,90,92,False,False,SoCon,CAA,-3.5,3.5,8,2025-11-08 21:00:00+00:00,0.0,-2,-5.5,0.0,1.0
212981,2025-11-08 21:00:00+00:00,air force,austin peay,54,74,False,False,Mountain West,ASUN,0.0,0.0,5,2025-11-08 21:00:00+00:00,0.0,-20,-20.0,0.0,1.0
209840,2025-11-08 21:00:00+00:00,stanford,montana,91,68,False,False,ACC,Big Sky,-11.5,11.5,9,2025-11-08 21:00:00+00:00,0.0,23,11.5,1.0,0.0
212973,2025-11-08 21:00:00+00:00,colorado,eastern washington,102,97,False,False,Big 12,Big Sky,-15.5,15.5,10,2025-11-08 21:00:00+00:00,0.0,5,-10.5,0.0,1.0
