team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Mount St. Mary's,98.92,110.14,0.225186,67.95,-11.22,50.8,48.3,22.8,14.5,31.0,29.0,35.5,37.4,-10.963,0,2026-02-14
Bryant,95.76,118.69,0.078066,64.41,-22.93,46.2,51.9,20.7,14.7,28.6,32.0,29.2,32.1,-13.48,0,2026-02-14
Syracuse,115.3,102.78,0.789462,68.12,12.52,53.3,48.3,16.3,18.7,29.9,33.0,38.3,34.1,-2.384,0,2026-02-14
Jacksonville St.,105.78,107.04,0.466003,64.51,-1.26,49.8,48.6,18.2,16.4,30.7,29.3,45.5,36.2,-8.085,0,2026-02-14
McNeese St.,113.62,104.94,0.71376,66.31,8.68,51.2,49.8,15.0,24.5,36.2,36.7,39.1,42.9,-0.317,0,2026-02-14
Quinnipiac,103.83,106.11,0.437802,70.23,-2.28,49.3,49.0,16.0,18.0,33.0,32.5,32.1,30.6,-5.093,0,2026-02-14
Rhode Island,106.5,104.36,0.558177,65.79,2.14,51.8,51.5,19.0,21.6,32.9,31.3,40.4,42.2,-5.252,0,2026-02-14
Detroit Mercy,108.2,112.92,0.379744,69.18,-4.72,48.9,52.7,16.7,13.9,34.5,31.3,31.1,38.9,-8.888,0,2026-02-14
Sam Houston St.,112.39,106.76,0.643433,70.81,5.62,52.5,50.3,17.2,17.1,34.9,31.4,33.3,38.9,-3.739,0,2026-02-14
East Tennessee St.,108.82,108.15,0.517664,66.24,0.67,55.1,50.6,14.9,19.5,29.0,26.8,35.3,33.6,-4.376,0,2026-02-14
Duquesne,112.02,106.63,0.638058,70.35,5.39,54.3,51.6,17.8,17.8,30.1,29.4,39.7,40.7,-5.083,0,2026-02-14
Virginia Tech,115.12,101.21,0.814744,67.89,13.91,51.9,50.0,14.9,18.1,31.8,32.6,36.4,27.8,0.719,0,2026-02-14
North Carolina Central,100.31,120.97,0.103914,66.3,-20.67,46.5,56.3,18.4,19.5,28.4,38.4,39.9,40.1,-8.602,0,2026-02-14
North Dakota St.,112.76,108.36,0.61244,66.12,4.4,52.8,52.9,15.7,19.4,34.4,28.2,30.8,28.9,-3.264,0,2026-02-14
Northwestern St.,102.38,114.36,0.218717,65.31,-11.98,49.3,54.3,18.4,16.9,25.7,33.2,39.5,39.6,-13.165,0,2026-02-14
Fairfield,107.76,115.06,0.320042,67.0,-7.3,49.1,51.4,14.8,16.1,35.6,29.1,27.0,29.4,-7.488,0,2026-02-14
Arkansas,126.42,101.19,0.928271,71.2,25.23,56.7,49.9,12.9,16.5,32.5,31.6,36.8,29.5,3.817,0,2026-02-14
Cal St. Bakersfield,100.84,115.37,0.175414,69.62,-14.53,45.4,52.8,19.6,18.1,32.2,36.4,41.1,44.2,-13.112,0,2026-02-14
George Washington,117.57,106.76,0.751817,69.59,10.8,55.0,51.8,17.8,17.8,36.4,29.0,35.6,33.0,-5.679,0,2026-02-14
UNC Asheville,104.31,110.4,0.342412,65.33,-6.09,51.8,51.1,17.7,15.5,29.6,31.4,40.3,38.2,-9.687,0,2026-02-14
Dayton,107.92,101.55,0.668068,68.43,6.37,51.4,51.5,17.2,22.5,26.8,31.2,47.3,35.1,-2.839,0,2026-02-14
Stephen F. Austin,112.32,101.58,0.760606,66.2,10.74,52.5,46.3,14.7,17.3,34.3,28.9,30.0,32.1,-0.281,0,2026-02-14
Arkansas St.,110.23,108.02,0.557941,71.83,2.21,51.2,50.8,19.7,15.5,37.8,26.7,36.7,38.0,-5.601,0,2026-02-14
Army,100.89,119.4,0.126,66.66,-18.51,49.4,55.2,16.8,15.0,29.4,28.0,27.4,37.7,-13.049,0,2026-02-14
Oakland,114.3,112.99,0.533029,70.71,1.31,52.7,54.2,14.7,15.1,30.7,34.6,39.6,23.8,-5.02,0,2026-02-14
Southeast Missouri St.,102.86,110.98,0.29434,69.52,-8.13,51.3,51.6,17.0,19.0,29.7,27.9,37.3,47.2,-7.769,0,2026-02-14
Binghamton,95.02,121.44,0.056187,65.61,-26.42,47.6,54.7,19.2,12.9,21.7,28.9,42.6,34.1,-18.661,0,2026-02-14
George Mason,109.34,105.29,0.606844,64.28,4.05,53.1,49.0,15.9,16.5,31.2,28.3,45.2,28.8,-0.918,0,2026-02-14
Old Dominion,103.85,111.17,0.313622,68.71,-7.32,49.1,51.0,15.3,14.5,25.4,29.8,33.0,41.6,-12.978,0,2026-02-14
