today,prior,src,level,level_price,first_touch_ts,first_touch_hour,px_at_touch,react_close_60m,react_mfe,react_mae,reversed
2025-10-22,2025-10-21,5m,L50,25240.75,2025-10-22 10:02:00-04:00,10,25253.25,25174.5,24.75,-202.75,True
2025-10-22,2025-10-21,5m,L75,25251.5,2025-10-22 10:00:00-04:00,10,25269.75,25175.0,11.25,-219.25,True
2025-10-22,2025-10-21,5m,L100,25262.25,2025-10-22 10:00:00-04:00,10,25269.75,25175.0,11.25,-219.25,True
2025-10-23,2025-10-16,1h,L75,25100.625,2025-10-23 10:11:00-04:00,10,25116.5,25183.75,82.75,-32.75,False
2025-10-23,2025-10-16,1h,L100,25125.5,2025-10-23 10:06:00-04:00,10,25139.5,25187.75,59.75,-55.75,False
2025-10-23,2025-10-16,5m,L50,25086.5,2025-10-23 10:19:00-04:00,10,25096.0,25157.75,103.25,-12.25,True
2025-10-23,2025-10-16,5m,L75,25106.0,2025-10-23 10:10:00-04:00,10,25110.25,25179.75,89.0,-26.5,False
2025-10-23,2025-10-16,5m,L100,25125.5,2025-10-23 10:06:00-04:00,10,25139.5,25187.75,59.75,-55.75,False
2025-10-23,2025-10-20,1h,L0,25114.75,2025-10-23 10:10:00-04:00,10,25110.25,25179.75,89.0,-26.5,True
2025-10-23,2025-10-20,1h,L25,25145.9375,2025-10-23 10:00:00-04:00,10,25140.5,25193.0,58.75,-56.75,True
2025-10-23,2025-10-20,1h,L50,25177.125,2025-10-23 10:00:00-04:00,10,25140.5,25193.0,58.75,-56.75,True
2025-10-23,2025-10-20,1h,L75,25208.3125,2025-10-23 11:31:00-04:00,11,25199.75,25208.25,27.5,-80.25,False
2025-10-23,2025-10-20,1h,L100,25239.5,2025-10-23 12:53:00-04:00,12,25234.75,25277.75,45.25,-45.25,False
2025-10-23,2025-10-20,5m,L0,25181.25,2025-10-23 10:00:00-04:00,10,25140.5,25193.0,58.75,-56.75,True
2025-10-23,2025-10-20,5m,L25,25193.9375,2025-10-23 10:38:00-04:00,10,25187.75,25174.0,21.75,-47.5,False
2025-10-23,2025-10-20,5m,L50,25206.625,2025-10-23 11:31:00-04:00,11,25199.75,25208.25,27.5,-80.25,True
2025-10-23,2025-10-20,5m,L75,25219.3125,2025-10-23 11:56:00-04:00,11,25213.0,25235.5,26.0,-28.5,False
2025-10-23,2025-10-20,5m,L100,25232.0,2025-10-23 12:15:00-04:00,12,25223.75,25234.0,23.25,-39.25,False
2025-10-23,2025-10-21,1h,L0,25213.75,2025-10-23 11:31:00-04:00,11,25199.75,25208.25,27.5,-80.25,True
